Category,Level1,Level2,Level3,Level4,Federal,GovXFer,State,Local,Total
"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",Health Care,R&D Health,Health research and training (552),"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",0,0,0,0,0
PatientCentered Outcomes Research Trust Fund,Health Care,R&D Health,Health research and training (552),PatientCentered Outcomes Research Trust Fund,0,0,0,0,0
Health Resources and Services,Health Care,R&D Health,Health research and training (552),Health Resources and Services,0,0,0,0,0
Health Resources and Services,Health Care,R&D Health,Health research and training (552),Health Resources and Services,0,0,0,0,0
CDCWide Activities and Program Support,Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0,0,0,0,0
CDCWide Activities and Program Support,Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0,0,0,0,0
CDCWide Activities and Program Support,Health Care,R&D Health,Health research and training (552),CDCWide Activities and Program Support,0,0,0,0,0
National Institutes of Health,Health Care,R&D Health,Health research and training (552),National Institutes of Health,0,0,0,0,0
National Institutes of Health,Health Care,R&D Health,Health research and training (552),National Institutes of Health,0,0,0,0,0
Healthcare Research and Quality,Health Care,R&D Health,Health research and training (552),Healthcare Research and Quality,0,0,0,0,0
Transfers from the PatientCentered Outcomes Research Trust Fund,Health Care,R&D Health,Health research and training (552),Transfers from the PatientCentered Outcomes Research Trust Fund,0,0,0,0,0
-553,Health Care,R&D Health,553,,0,0,0,0,0
Health n.e.c.,Health Care,Health n.e.c.,,,0,0,0,0,0
Supplemental Payments to UMWA Health Plans,Health Care,Vendor Payments (Welfare),Health care services (551),Supplemental Payments to UMWA Health Plans,0,0,0,0,0
Abandoned Mine Reclamation Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Abandoned Mine Reclamation Fund,0,0,0,0,0
Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,Health Care,Vendor Payments (Welfare),Health care services (551),Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0,0,0,0,0
Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,Health Care,Vendor Payments (Welfare),Health care services (551),Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0,0,0,0,0
Department of Defense MedicareEligible Retiree Health Care Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Department of Defense MedicareEligible Retiree Health Care Fund,0,0,0,0,0
Biodefense Countermeasures,Health Care,Vendor Payments (Welfare),Health care services (551),Biodefense Countermeasures,0,0,0,0,0
"Government Payment for Annuitants, Employees Health Benefits",Health Care,Vendor Payments (Welfare),Health care services (551),"Government Payment for Annuitants, Employees Health Benefits",0,0,0,0,0
Postal Service Retiree Health Benefits Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Postal Service Retiree Health Benefits Fund,0,0,0,0,0
Employees and Retired Employees Health Benefits Funds,Health Care,Vendor Payments (Welfare),Health care services (551),Employees and Retired Employees Health Benefits Funds,0,0,0,0,0
United Mine Workers of America 1992 Benefit Plan,Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America 1992 Benefit Plan,0,0,0,0,0
Transfers from Abandoned Mine Reclamation Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Transfers from Abandoned Mine Reclamation Fund,0,0,0,0,0
Federal Payment to United Mine Workers of America Combined Benefit Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Federal Payment to United Mine Workers of America Combined Benefit Fund,0,0,0,0,0
United Mine Workers of America Combined Benefit Fund,Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America Combined Benefit Fund,0,0,0,0,0
United Mine Workers of America 1993 Benefit Plan,Health Care,Vendor Payments (Welfare),Health care services (551),United Mine Workers of America 1993 Benefit Plan,0,0,0,0,0
"Maternal, Infant, and Early Childhood Home Visiting Programs",Health Care,Vendor Payments (Welfare),Health care services (551),"Maternal, Infant, and Early Childhood Home Visiting Programs",0,0,0,0,0
Health Resources and Services,Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,0,0,0,0,0
Health Resources and Services,Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,0,0,0,0,0
Health Resources and Services,Health Care,Vendor Payments (Welfare),Health care services (551),Health Resources and Services,0,0,0,0,0
Vaccine Injury Compensation Program Trust Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Vaccine Injury Compensation Program Trust Fund,0,0,0,0,0
Indian Health Services,Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Services,0,0,0,0,0
Indian Health Services,Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Services,0,0,0,0,0
Indian Health Facilities,Health Care,Vendor Payments (Welfare),Health care services (551),Indian Health Facilities,0,0,0,0,0
CDCWide Activities and Program Support,Health Care,Vendor Payments (Welfare),Health care services (551),CDCWide Activities and Program Support,0,0,0,0,0
CDCWide Activities and Program Support,Health Care,Vendor Payments (Welfare),Health care services (551),CDCWide Activities and Program Support,0,0,0,0,0
"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",Health Care,Vendor Payments (Welfare),Health care services (551),"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0,0,0,0,0
World Trade Center Health Program Fund,Health Care,Vendor Payments (Welfare),Health care services (551),World Trade Center Health Program Fund,0,0,0,0,0
Susbstance Abuse and Mental Health Services Administration,Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,0,0,0,0,0
Susbstance Abuse and Mental Health Services Administration,Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,0,0,0,0,0
Susbstance Abuse and Mental Health Services Administration,Health Care,Vendor Payments (Welfare),Health care services (551),Susbstance Abuse and Mental Health Services Administration,0,0,0,0,0
Rate Review Grants,Health Care,Vendor Payments (Welfare),Health care services (551),Rate Review Grants,0,0,0,0,0
PreExisting Condition Insurance Plan Program,Health Care,Vendor Payments (Welfare),Health care services (551),PreExisting Condition Insurance Plan Program,0,0,0,0,0
Affordable Insurance Exchange Grants,Health Care,Vendor Payments (Welfare),Health care services (551),Affordable Insurance Exchange Grants,0,0,0,0,0
Consumer Operated and Oriented Plan Program Account,Health Care,Vendor Payments (Welfare),Health care services (551),Consumer Operated and Oriented Plan Program Account,0,0,0,0,0
Program Management,Health Care,Vendor Payments (Welfare),Health care services (551),Program Management,0,0,0,0,0
Grants to States for Medicaid,Health Care,Vendor Payments (Welfare),Health care services (551),Grants to States for Medicaid,0,0,0,0,0
Children's Health Insurance Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Children's Health Insurance Fund,0,0,0,0,0
State Grants and Demonstrations,Health Care,Vendor Payments (Welfare),Health care services (551),State Grants and Demonstrations,0,0,0,0,0
Center for Medicare and Medicaid Innovation,Health Care,Vendor Payments (Welfare),Health care services (551),Center for Medicare and Medicaid Innovation,0,0,0,0,0
Child Enrollment Contingency Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Child Enrollment Contingency Fund,0,0,0,0,0
Health Insurance Reform Implementation Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Health Insurance Reform Implementation Fund,0,0,0,0,0
Office of the National Coordinator for Health Information Technology,Health Care,Vendor Payments (Welfare),Health care services (551),Office of the National Coordinator for Health Information Technology,0,0,0,0,0
Public Health and Social Services Emergency Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Public Health and Social Services Emergency Fund,0,0,0,0,0
Public Health and Social Services Emergency Fund,Health Care,Vendor Payments (Welfare),Health care services (551),Public Health and Social Services Emergency Fund,0,0,0,0,0
General Departmental Management,Health Care,Vendor Payments (Welfare),Health care services (551),General Departmental Management,0,0,0,0,0
Retirement Pay and Medical Benefits for Commissioned Officers,Health Care,Vendor Payments (Welfare),Health care services (551),Retirement Pay and Medical Benefits for Commissioned Officers,0,0,0,0,0
Miscellaneous Trust Funds,Health Care,Vendor Payments (Welfare),Health care services (551),Miscellaneous Trust Funds,0,0,0,0,0
Office of the Inspector General,Health Care,Vendor Payments (Welfare),Health care services (551),Office of the Inspector General,0,0,0,0,0
Federal Intergovernmental  Public Welfare (B79),Health Care,Vendor Payments (Welfare),Federal Intergovernmental  Public Welfare (B79),,0,0,0,0,0
"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",Health Care,Vendor Payments (Welfare),"Current Operations  Welfare, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",,0,0,0,0,0
"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",Health Care,Vendor Payments (Welfare),"Current Operations  Public Welfare, Vendor Payments for Medical Care (E74)",,0,0,0,0,0
Operation of Indian Programs,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0,0,0,0,0
Operation of Indian Programs,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Operation of Indian Programs,0,0,0,0,0
Payment to Issuer of Qualified School Construction Bonds,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Payment to Issuer of Qualified School Construction Bonds,0,0,0,0,0
Education Improvement Programs,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,0,0,0,0,0
Education Improvement Programs,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Education Improvement Programs,0,0,0,0,0
Indian Student Education,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Indian Student Education,0,0,0,0,0
Impact Aid,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Impact Aid,0,0,0,0,0
Supporting Student Success,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Supporting Student Success,0,0,0,0,0
Accelerating Achievement and Ensuring Equity,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Accelerating Achievement and Ensuring Equity,0,0,0,0,0
Innovation and Instructional Teams,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,0,0,0,0,0
Innovation and Instructional Teams,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Innovation and Instructional Teams,0,0,0,0,0
English Learner Education,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",English Learner Education,0,0,0,0,0
Special Education,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,0,0,0,0,0
Special Education,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Special Education,0,0,0,0,0
"Career, Technical and Adult Education",Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)","Career, Technical and Adult Education",0,0,0,0,0
American Jobs Act,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",American Jobs Act,0,0,0,0,0
Federal Payment for School Improvement,Education,Preprimary thru secondary education,"Elementary, secondary, and vocational education (501)",Federal Payment for School Improvement,0,0,0,0,0
Federal Intergovernmental  Education (B21),Education,Preprimary thru secondary education,Federal Intergovernmental  Education (B21),,0,0,0,0,0
Current Operations  Elementary and Secondary Education (E12),Education,Preprimary thru secondary education,Current Operations  Elementary and Secondary Education (E12),,0,0,0,0,0
Construction  Elementary and Secondary Education (F12),Education,Preprimary thru secondary education,Construction  Elementary and Secondary Education (F12),,0,0,0,0,0
Other Capital Outlay  Elementary and Secondary Education (G12),Education,Preprimary thru secondary education,Other Capital Outlay  Elementary and Secondary Education (G12),,0,0,0,0,0
Payment Where American Opportunity Credit Exceeds Liability for TAX,Education,Tertiary education,Higher education (502),Payment Where American Opportunity Credit Exceeds Liability for TAX,0,0,0,0,0
"Federal Family Education Loan Program, Negative Subsidies",Education,Tertiary education,Higher education (502),"Federal Family Education Loan Program, Negative Subsidies",0,0,0,0,0
"Federal Direct Student Loan Program, Negative Subsidies",Education,Tertiary education,Higher education (502),"Federal Direct Student Loan Program, Negative Subsidies",0,0,0,0,0
"Federal Perkins Loan, Negative Subsidies",Education,Tertiary education,Higher education (502),"Federal Perkins Loan, Negative Subsidies",0,0,0,0,0
National Technical Institute for the Deaf,Education,Tertiary education,Higher education (502),National Technical Institute for the Deaf,0,0,0,0,0
Gallaudet University,Education,Tertiary education,Higher education (502),Gallaudet University,0,0,0,0,0
Higher Education,Education,Tertiary education,Higher education (502),Higher Education,0,0,0,0,0
Higher Education,Education,Tertiary education,Higher education (502),Higher Education,0,0,0,0,0
Higher Education,Education,Tertiary education,Higher education (502),Higher Education,0,0,0,0,0
Howard University,Education,Tertiary education,Higher education (502),Howard University,0,0,0,0,0
Student Financial Assistance,Education,Tertiary education,Higher education (502),Student Financial Assistance,0,0,0,0,0
Student Financial Assistance,Education,Tertiary education,Higher education (502),Student Financial Assistance,0,0,0,0,0
Student Aid Administration,Education,Tertiary education,Higher education (502),Student Aid Administration,0,0,0,0,0
Student Aid Administration,Education,Tertiary education,Higher education (502),Student Aid Administration,0,0,0,0,0
Federal Family Education Loan Liquidating Account,Education,Tertiary education,Higher education (502),Federal Family Education Loan Liquidating Account,0,0,0,0,0
Federal Student Loan Reserve Fund,Education,Tertiary education,Higher education (502),Federal Student Loan Reserve Fund,0,0,0,0,0
Current Operations  Higher Education Auxiliary Enterprises (E16),Education,Tertiary education,Current Operations  Higher Education Auxiliary Enterprises (E16),,0,0,0,0,0
Current Operations  Other Higher Education (E18),Education,Tertiary education,Current Operations  Other Higher Education (E18),,0,0,0,0,0
Construction  Higher Education  Auxiliary Enterprises (F16),Education,Tertiary education,Construction  Higher Education  Auxiliary Enterprises (F16),,0,0,0,0,0
Construction  Other Higher Education (F18),Education,Tertiary education,Construction  Other Higher Education (F18),,0,0,0,0,0
Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),Education,Tertiary education,Other Capital Outlay  Higher Education  Auxiliary Enterprises (G16),,0,0,0,0,0
Other Capital Outlay  Other Higher Education (G18),Education,Tertiary education,Other Capital Outlay  Other Higher Education (G18),,0,0,0,0,0
Science,Education,Education not definable by level,General science and basic research (251),Science,0,0,0,0,0
Research and Related Activities,Education,Education not definable by level,General science and basic research (251),Research and Related Activities,0,0,0,0,0
Education and Human Resources,Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0,0,0,0,0
Education and Human Resources,Education,Education not definable by level,General science and basic research (251),Education and Human Resources,0,0,0,0,0
Agency Operations and Award Management,Education,Education not definable by level,General science and basic research (251),Agency Operations and Award Management,0,0,0,0,0
Major Research Equipment and Facilities Construction,Education,Education not definable by level,General science and basic research (251),Major Research Equipment and Facilities Construction,0,0,0,0,0
Space flight (253),Education,Education not definable by level,Space flight (253),,0,0,0,0,0
"Space, science, applications, and technology (254)",Education,Education not definable by level,"Space, science, applications, and technology (254)",,0,0,0,0,0
Supporting space activities (255),Education,Education not definable by level,Supporting space activities (255),,0,0,0,0,0
Institute of Education Sciences,Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0,0,0,0,0
Institute of Education Sciences,Education,Education not definable by level,Research and general education aids (503),Institute of Education Sciences,0,0,0,0,0
Program Administration,Education,Education not definable by level,Research and general education aids (503),Program Administration,0,0,0,0,0
