Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total
"FHI Trust Fund, Postal Service Employer Contributions (FICA)",PTEN,ANKRD62,"ELF2","FHI Trust Fund, Postal Service Employer Contributions (FICA)",0.59,b,,,,0.59
"Employing Agency Contributions, Military Retirement Fund",PTEN,ANKRD62,"ELF2","Employing Agency Contributions, Military Retirement Fund",20.844,b,,,,20.844
"Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",PTEN,ANKRD62,"ELF2","Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",6.95,b,,,,6.95
"Agency Contributions, Civil Service Retirement and Disability Fund",PTEN,ANKRD62,"ELF2","Agency Contributions, Civil Service Retirement and Disability Fund",21.257,b,,,,21.257
"Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",PTEN,ANKRD62,"ELF2","Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",3.933,b,,,,3.933
"Employing Agency Contributions, Foreign Service Retirement and Disability Fund",PTEN,ANKRD62,"ELF2","Employing Agency Contributions, Foreign Service Retirement and Disability Fund",0.322,b,,,,0.322
"FOASI, Federal Employer Contributions (FICA Taxes)",PTEN,ANKRD62,"EML4","FOASI, Federal Employer Contributions (FICA Taxes)",14.103,b,,,,14.103
"FDI, Federal Employer Contributions (FICA Taxes)",PTEN,ANKRD62,"EML4","FDI, Federal Employer Contributions (FICA Taxes)",2.395,b,,,,2.395
Employee Retirement  Benefit Payments (X11),PTEN,ANKRD62,"EML4",,0,g,0,186.3,42.6,228.9
Employee Retirement  Withdrawals (X12),PTEN,ANKRD62,"EML4",,0,g,0,4.5,0.9,5.4
Employee Retirement  Other Payments (Disc. 2005) (X14),PTEN,ANKRD62,"EML4",,0,,0,0,0,0
"Federal Contributions, FSMI Fund",PIK3CA,APOBEC3B,EP300,"Federal Contributions, FSMI Fund",194.019,b,,,,194.019
"Premiums Collected for Medicare Prescription Drug Account, FSMI",PIK3CA,APOBEC3B,EP300,"Premiums Collected for Medicare Prescription Drug Account, FSMI",4.082,b,,,,4.082
"Payments from States, Medicare Prescription Drug Account, FSMI",PIK3CA,APOBEC3B,EP300,"Payments from States, Medicare Prescription Drug Account, FSMI",8.985,b,,,,8.985
"Basic Premium, Medicare Advantage, FSMI Trust Fund",PIK3CA,APOBEC3B,EP300,"Basic Premium, Medicare Advantage, FSMI Trust Fund",0.215,b,,,,0.215
"Medicare Refunds, SMI",PIK3CA,APOBEC3B,EP300,"Medicare Refunds, SMI",4.4,b,,,,4.4
"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",PIK3CA,APOBEC3B,EP300,"Federal Contribution for Admin. Contribution for Admin. Costs, Prescription Drug Account, FSMI",0.424,b,,,,0.424
"Federal Contributions for Benefits, Prescription Drug Account, SMI",PIK3CA,APOBEC3B,EP300,"Federal Contributions for Benefits, Prescription Drug Account, SMI",56.194,b,,,,56.194
"Premiums Collected for the Aged, FSMI Fund",PIK3CA,APOBEC3B,EP300,"Premiums Collected for the Aged, FSMI Fund",54.735,b,,,,54.735
Manufacturer Rebates,PIK3CA,APOBEC3B,EP300,Manufacturer Rebates,5.87,b,,,,5.87
"Premiums Collected for the Disabled, FSMI Fund",PIK3CA,APOBEC3B,EP300,"Premiums Collected for the Disabled, FSMI Fund",10.513,b,,,,10.513
"FHI Trust Fund, Taxation on OASDI Benefits",PIK3CA,APOBEC3B,EP300,"FHI Trust Fund, Taxation on OASDI Benefits",20.811,b,,,,20.811
"FHI Trust Fund, Basic Premium, Medicare Advantage",PIK3CA,APOBEC3B,EP300,"FHI Trust Fund, Basic Premium, Medicare Advantage",0.225,b,,,,0.225
"FHI Trust Fund, Payment from the General Fund for PIK3CA Fraud and Abuse Control Account",PIK3CA,APOBEC3B,EP300,"FHI Trust Fund, Payment from the General Fund for PIK3CA Fraud and Abuse Control Account",0.134,b,,,,0.134
"FHI Trust Fund, Transfers from General Fund (criminal Fines)",PIK3CA,APOBEC3B,EP300,"FHI Trust Fund, Transfers from General Fund (criminal Fines)",1.126,b,,,,1.126
"FHI Trust Fund, Medicare Refunds",PIK3CA,APOBEC3B,EP300,"FHI Trust Fund, Medicare Refunds",5.8,b,,,,5.8
"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",PIK3CA,APOBEC3B,EP300,"FHI Trust Fund, Payments from the General Fund (uninsured and Program Management)",0.672,b,,,,0.672
"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",PIK3CA,APOBEC3B,EP300,"FHI Trust Fund, Premiums Collected for Uninsured Individuals not Otherwise Eligible",3.552,b,,,,3.552
Payments to PIK3CA Trust Funds,PIK3CA,APOBEC3B,EP300,Payments to PIK3CA Trust Funds,273.401,b,,,,273.401
Federal Supplementary Medical Insurance Trust Fund,PIK3CA,APOBEC3B,EP300,Federal Supplementary Medical Insurance Trust Fund,3.761,b,,,,3.761
Federal Supplementary Medical Insurance Trust Fund,PIK3CA,APOBEC3B,EP300,Federal Supplementary Medical Insurance Trust Fund,264.336,b,,,,264.336
Federal Hospital Insurance Trust Fund,PIK3CA,APOBEC3B,EP300,Federal Hospital Insurance Trust Fund,2.195,b,,,,2.195
Federal Hospital Insurance Trust Fund,PIK3CA,APOBEC3B,EP300,Federal Hospital Insurance Trust Fund,281.418,b,,,,281.418
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",PIK3CA,APOBEC3B,EP300,"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",0.399,b,,,,0.399
"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",PIK3CA,APOBEC3B,EP300,"Medicare Prescription Drug Account, Federal Supplementary Insurance Trust Fund",75.119,b,,,,75.119
PIK3CA Fraud and Abuse Control Account,PIK3CA,APOBEC3B,EP300,PIK3CA Fraud and Abuse Control Account,0.61,b,,,,0.61
PIK3CA Fraud and Abuse Control Account,PIK3CA,APOBEC3B,EP300,PIK3CA Fraud and Abuse Control Account,0.767,b,,,,0.767
EPHA3,PIK3CA,ARNT,EPHA3,,0,g,28.2,0,0,28.2
Current Operations  Health  Other (E32),PIK3CA,ARNT,EPHA3,,0,g,0,35.7,36.9,72.6
Current Operations  Hospitals (E36),PIK3CA,ARNT,EPHA3,,0,g,0,60,84.1,144.1
Current Operations  Hospitals  Other (Disc. 2005) (E38),PIK3CA,ARNT,EPHA3,,0,,0,0,0,0
ERBB2,PIK3CA,ARNT,ERBB2,,0,g,0,0.9,0.5,1.4
Construction  Hospitals (F36),PIK3CA,ARNT,ERBB2,,0,g,0,2.2,4,6.2
Construction  Hospitals  Other (Disc. 2005) (F38),PIK3CA,ARNT,ERBB2,,0,,0,0,0,0
ERCC3,PIK3CA,ARNT,ERCC3,,0,g,0,0.3,0.3,0.6
Other Capital Outlay  Hospitals (G36),PIK3CA,ARNT,ERCC3,,0,g,0,0.9,2.3,3.2
Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),PIK3CA,ARNT,ERCC3,,0,,0,0,0,0
Salaries and Expenses,PIK3CA,ASXL1,EVC2,Salaries and Expenses,0.115,b,,,,0.115
Salaries and Expenses,PIK3CA,ASXL1,EVC2,Salaries and Expenses,0.455,b,,,,0.455
Salaries and Expenses,PIK3CA,ASXL1,EVC2,Salaries and Expenses,0.373,b,,,,0.373
Salaries and Expenses,PIK3CA,ASXL1,EVC2,Salaries and Expenses,0.132,b,,,,0.132
Salaries and Expenses,PIK3CA,ASXL1,EVC2,Salaries and Expenses,0.051,b,,,,0.051
Salaries and Expenses,PIK3CA,ASXL1,EVC2,Salaries and Expenses,0.947,b,,,,0.947
Salaries and Expenses,PIK3CA,ASXL1,EVC2,Salaries and Expenses,2.496,b,,,,2.496
FAM123B,PIK3CA,ASXL1,FAM123B,,0,,0,0,0,0
Current Operations  Environmental Health (NEW for 2007) (E27),PIK3CA,ASXL1,FAM123B,,0,,0,0,0,0
FANCD2,PIK3CA,ASXL1,FANCD2,,0,,0,0,0,0
Other Capital Outlay  Environmental Health (NEW for 2007) (G27),PIK3CA,ASXL1,FANCD2,,0,,0,0,0,0
Payment to the PatientCentered Outcomes Research Trust Fund,PIK3CA,BRAF,FBXW7,Payment to the PatientCentered Outcomes Research Trust Fund,0.15,b,,,,0.15
"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",PIK3CA,BRAF,FBXW7,"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",0.15,b,,,,0.15
PatientCentered Outcomes Research Trust Fund,PIK3CA,BRAF,FBXW7,PatientCentered Outcomes Research Trust Fund,0.265,b,,,,0.265
Health Resources and Services,PIK3CA,BRAF,FBXW7,Health Resources and Services,0.569,b,,,,0.569
Health Resources and Services,PIK3CA,BRAF,FBXW7,Health Resources and Services,0.144,b,,,,0.144
CDCWide Activities and Program Support,PIK3CA,BRAF,FBXW7,CDCWide Activities and Program Support,0.194,b,,,,0.194
CDCWide Activities and Program Support,PIK3CA,BRAF,FBXW7,CDCWide Activities and Program Support,0.201,b,,,,0.201
CDCWide Activities and Program Support,PIK3CA,BRAF,FBXW7,CDCWide Activities and Program Support,0.712,b,,,,0.712
National Institutes of Health,PIK3CA,BRAF,FBXW7,National Institutes of Health,30.314,b,,,,30.314
National Institutes of Health,PIK3CA,BRAF,FBXW7,National Institutes of Health,0.167,b,,,,0.167
Healthcare Research and Quality,PIK3CA,BRAF,FBXW7,Healthcare Research and Quality,0.138,b,,,,0.138
Transfers from the PatientCentered Outcomes Research Trust Fund,PIK3CA,BRAF,FBXW7,Transfers from the PatientCentered Outcomes Research Trust Fund,0.051,b,,,,0.051
-553,PIK3CA,BRAF,FBXW7,,0,,0,0,0,0
WDR45,PIK3CA,WDR45,,,0,,0,0,0,0
Supplemental Payments to UMWA Health Plans,PIK3CA,BRCA1,FGFR1,Supplemental Payments to UMWA Health Plans,0.175,b,,,,0.175
Abandoned Mine Reclamation Fund,PIK3CA,BRCA1,FGFR1,Abandoned Mine Reclamation Fund,0.056,b,,,,0.056
Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,PIK3CA,BRCA1,FGFR1,Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,0.189,b,,,,0.189
Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,PIK3CA,BRCA1,FGFR1,Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,0.2,b,,,,0.2
Department of KRAS MedicareEligible Retiree PIK3CA Fund,PIK3CA,BRCA1,FGFR1,Department of KRAS MedicareEligible Retiree PIK3CA Fund,9.727,b,,,,9.727
Biodefense Countermeasures,PIK3CA,BRCA1,FGFR1,Biodefense Countermeasures,0.282,b,,,,0.282
"Government Payment for Annuitants, Employees Health Benefits",PIK3CA,BRCA1,FGFR1,"Government Payment for Annuitants, Employees Health Benefits",10.97,b,,,,10.97
Postal Service Retiree Health Benefits Fund,PIK3CA,BRCA1,FGFR1,Postal Service Retiree Health Benefits Fund,2.912,b,,,,2.912
Employees and Retired Employees Health Benefits Funds,PIK3CA,BRCA1,FGFR1,Employees and Retired Employees Health Benefits Funds,0.059,b,,,,0.059
United Mine Workers of America 1992 Benefit Plan,PIK3CA,BRCA1,FGFR1,United Mine Workers of America 1992 Benefit Plan,0.068,b,,,,0.068
Transfers from Abandoned Mine Reclamation Fund,PIK3CA,BRCA1,FGFR1,Transfers from Abandoned Mine Reclamation Fund,0.056,b,,,,0.056
Federal Payment to United Mine Workers of America Combined Benefit Fund,PIK3CA,BRCA1,FGFR1,Federal Payment to United Mine Workers of America Combined Benefit Fund,0.175,b,,,,0.175
United Mine Workers of America Combined Benefit Fund,PIK3CA,BRCA1,FGFR1,United Mine Workers of America Combined Benefit Fund,0.134,b,,,,0.134
United Mine Workers of America 1993 Benefit Plan,PIK3CA,BRCA1,FGFR1,United Mine Workers of America 1993 Benefit Plan,0.061,b,,,,0.061
"Maternal, Infant, and Early Childhood Home Visiting Programs",PIK3CA,BRCA1,FGFR1,"Maternal, Infant, and Early Childhood Home Visiting Programs",0.359,b,,,,0.359
Health Resources and Services,PIK3CA,BRCA1,FGFR1,Health Resources and Services,2.463,b,,,,2.463
Health Resources and Services,PIK3CA,BRCA1,FGFR1,Health Resources and Services,3.181,b,,,,3.181
Health Resources and Services,PIK3CA,BRCA1,FGFR1,Health Resources and Services,1.679,b,,,,1.679
Vaccine Injury Compensation Program Trust Fund,PIK3CA,BRCA1,FGFR1,Vaccine Injury Compensation Program Trust Fund,0.242,b,,,,0.242
Indian Health Services,PIK3CA,BRCA1,FGFR1,Indian Health Services,4.161,b,,,,4.161
Indian Health Services,PIK3CA,BRCA1,FGFR1,Indian Health Services,0.156,b,,,,0.156
Indian Health Facilities,PIK3CA,BRCA1,FGFR1,Indian Health Facilities,0.397,b,,,,0.397
CDCWide Activities and Program Support,PIK3CA,BRCA1,FGFR1,CDCWide Activities and Program Support,1.936,b,,,,1.936
CDCWide Activities and Program Support,PIK3CA,BRCA1,FGFR1,CDCWide Activities and Program Support,3.458,b,,,,3.458
"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",PIK3CA,BRCA1,FGFR1,"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",0.077,b,,,,0.077
World Trade Center Health Program Fund,PIK3CA,BRCA1,FGFR1,World Trade Center Health Program Fund,0.161,b,,,,0.161
Susbstance Abuse and Mental Health Services Administration,PIK3CA,BRCA1,FGFR1,Susbstance Abuse and Mental Health Services Administration,2.965,b,,,,2.965
Susbstance Abuse and Mental Health Services Administration,PIK3CA,BRCA1,FGFR1,Susbstance Abuse and Mental Health Services Administration,0.343,b,,,,0.343
Susbstance Abuse and Mental Health Services Administration,PIK3CA,BRCA1,FGFR1,Susbstance Abuse and Mental Health Services Administration,0.097,b,,,,0.097
Rate Review Grants,PIK3CA,BRCA1,FGFR1,Rate Review Grants,0.08,b,,,,0.08
PreExisting Condition Insurance Plan Program,PIK3CA,BRCA1,FGFR1,PreExisting Condition Insurance Plan Program,2.055,b,,,,2.055
Affordable Insurance Exchange Grants,PIK3CA,BRCA1,FGFR1,Affordable Insurance Exchange Grants,1.087,b,,,,1.087
Consumer Operated and Oriented Plan Program Account,PIK3CA,BRCA1,FGFR1,Consumer Operated and Oriented Plan Program Account,0.803,b,,,,0.803
Program Management,PIK3CA,BRCA1,FGFR1,Program Management,0.468,b,,,,0.468
Grants to States for Medicaid,PIK3CA,BRCA1,FGFR1,Grants to States for Medicaid,282.819,b,,,,282.819
Children's Health Insurance Fund,PIK3CA,BRCA1,FGFR1,Children's Health Insurance Fund,10.027,b,,,,10.027
State Grants and Demonstrations,PIK3CA,BRCA1,FGFR1,State Grants and Demonstrations,0.474,b,,,,0.474
Center for Medicare and Medicaid Innovation,PIK3CA,BRCA1,FGFR1,Center for Medicare and Medicaid Innovation,1.09,b,,,,1.09
Child Enrollment Contingency Fund,PIK3CA,BRCA1,FGFR1,Child Enrollment Contingency Fund,0.2,b,,,,0.2
Health Insurance Reform Implementation Fund,PIK3CA,BRCA1,FGFR1,Health Insurance Reform Implementation Fund,0.344,b,,,,0.344
Office of the National Coordinator for Health Information Technology,PIK3CA,BRCA1,FGFR1,Office of the National Coordinator for Health Information Technology,0.418,b,,,,0.418
Public Health and Social Services Emergency Fund,PIK3CA,BRCA1,FGFR1,Public Health and Social Services Emergency Fund,0.374,b,,,,0.374
Public Health and Social Services Emergency Fund,PIK3CA,BRCA1,FGFR1,Public Health and Social Services Emergency Fund,1.507,b,,,,1.507
General Departmental Management,PIK3CA,BRCA1,FGFR1,General Departmental Management,0.426,b,,,,0.426
Retirement Pay and Medical Benefits for Commissioned Officers,PIK3CA,BRCA1,FGFR1,Retirement Pay and Medical Benefits for Commissioned Officers,0.526,b,,,,0.526
Miscellaneous Trust Funds,PIK3CA,BRCA1,FGFR1,Miscellaneous Trust Funds,0.069,b,,,,0.069
Office of the Inspector General,PIK3CA,BRCA1,FGFR1,Office of the Inspector General,0.057,b,,,,0.057
FHIT MYC (B79),PIK3CA,BRCA1,FHIT,,0,g,337.8,0,0,337.8
"Current Operations  MYC, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",PIK3CA,BRCA1,FHIT,,0,g,0,7.1,0,7.1
"Current Operations  Public MYC, BRCA1 for Medical Care (E74)",PIK3CA,BRCA1,FHIT,,0,g,0,391.3,5.7,397
Operation of Indian Programs,APC,BRCA2,"FOXL2",Operation of Indian Programs,0.103,b,,,,0.103
Operation of Indian Programs,APC,BRCA2,"FOXL2",Operation of Indian Programs,0.673,b,,,,0.673
Payment to Issuer of Qualified School Construction Bonds,APC,BRCA2,"FOXL2",Payment to Issuer of Qualified School Construction Bonds,0.82,b,,,,0.82
APC Improvement Programs,APC,BRCA2,"FOXL2",APC Improvement Programs,4.426,b,,,,4.426
APC Improvement Programs,APC,BRCA2,"FOXL2",APC Improvement Programs,0.12,b,,,,0.12
Indian Student APC,APC,BRCA2,"FOXL2",Indian Student APC,0.123,b,,,,0.123
Impact Aid,APC,BRCA2,"FOXL2",Impact Aid,1.26,b,,,,1.26
Supporting Student Success,APC,BRCA2,"FOXL2",Supporting Student Success,0.323,b,,,,0.323
Accelerating Achievement and Ensuring Equity,APC,BRCA2,"FOXL2",Accelerating Achievement and Ensuring Equity,15.364,b,,,,15.364
Innovation and Instructional Teams,APC,BRCA2,"FOXL2",Innovation and Instructional Teams,1.305,b,,,,1.305
Innovation and Instructional Teams,APC,BRCA2,"FOXL2",Innovation and Instructional Teams,0.494,b,,,,0.494
English Learner APC,APC,BRCA2,"FOXL2",English Learner APC,0.685,b,,,,0.685
Special APC,APC,BRCA2,"FOXL2",Special APC,12.475,b,,,,12.475
Special APC,APC,BRCA2,"FOXL2",Special APC,0.208,b,,,,0.208
"Career, Technical and Adult APC",APC,BRCA2,"FOXL2","Career, Technical and Adult APC",1.679,b,,,,1.679
American Jobs Act,APC,BRCA2,"FOXL2",American Jobs Act,19.577,b,,,,19.577
Federal Payment for School Improvement,APC,BRCA2,"FOXL2",Federal Payment for School Improvement,0.06,b,,,,0.06
HDAC3,APC,BRCA2,HDAC3,,0,g,104.4,0,0,104.4
Current Operations  Elementary and Secondary APC (E12),APC,BRCA2,HDAC3,,0,g,0,5.5,407.8,413.3
Construction  Elementary and Secondary APC (F12),APC,BRCA2,HDAC3,,0,g,0,0.5,39.8,40.3
Other Capital Outlay  Elementary and Secondary APC (G12),APC,BRCA2,HDAC3,,0,g,0,0.4,16.7,17.1
Payment Where American Opportunity Credit Exceeds Liability for TAX,APC,BRD3,JAK2,Payment Where American Opportunity Credit Exceeds Liability for TAX,7.541,b,,,,7.541
"Federal Family APC Loan Program, Negative Subsidies",APC,BRD3,JAK2,"Federal Family APC Loan Program, Negative Subsidies",3.39,b,,,,3.39
"Federal Direct Student Loan Program, Negative Subsidies",APC,BRD3,JAK2,"Federal Direct Student Loan Program, Negative Subsidies",28.709,b,,,,28.709
"Federal Perkins Loan, Negative Subsidies",APC,BRD3,JAK2,"Federal Perkins Loan, Negative Subsidies",0.648,b,,,,0.648
National Technical Institute for the Deaf,APC,BRD3,JAK2,National Technical Institute for the Deaf,0.063,b,,,,0.063
Gallaudet University,APC,BRD3,JAK2,Gallaudet University,0.124,b,,,,0.124
Higher APC,APC,BRD3,JAK2,Higher APC,0.361,b,,,,0.361
Higher APC,APC,BRD3,JAK2,Higher APC,1.554,b,,,,1.554
Higher APC,APC,BRD3,JAK2,Higher APC,0.444,b,,,,0.444
Howard University,APC,BRD3,JAK2,Howard University,0.234,b,,,,0.234
Student Financial Assistance,APC,BRD3,JAK2,Student Financial Assistance,24.105,b,,,,24.105
Student Financial Assistance,APC,BRD3,JAK2,Student Financial Assistance,13.553,b,,,,13.553
Student Aid Administration,APC,BRD3,JAK2,Student Aid Administration,1.041,b,,,,1.041
Student Aid Administration,APC,BRD3,JAK2,Student Aid Administration,0.29,b,,,,0.29
Federal Family APC Loan Liquidating Account,APC,BRD3,JAK2,Federal Family APC Loan Liquidating Account,0.335,b,,,,0.335
Federal Student Loan Reserve Fund,APC,BRD3,JAK2,Federal Student Loan Reserve Fund,0.244,b,,,,0.244
JAK3,APC,BRD3,JAK3,,0,g,0,21.7,2.2,24
Current Operations  Other Higher APC (E18),APC,BRD3,JAK3,,0,g,0,170.3,35.7,206
Construction  Higher APC  Auxiliary Enterprises (F16),APC,BRD3,JAK3,,0,g,0,4,0,4
Construction  Other Higher APC (F18),APC,BRD3,JAK3,,0,g,0,18.2,4.2,22.4
Other Capital Outlay  Higher APC  Auxiliary Enterprises (G16),APC,BRD3,JAK3,,0,g,0,0.3,0,0.3
Other Capital Outlay  Other Higher APC (G18),APC,BRD3,JAK3,,0,g,0,5.1,1,6
Science,APC,CALML5,KDM4D,Science,6.47,b,,,,6.47
Research and Related Activities,APC,CALML5,KDM4D,Research and Related Activities,5.864,b,,,,5.864
APC and Human Resources,APC,CALML5,KDM4D,APC and Human Resources,0.88,b,,,,0.88
APC and Human Resources,APC,CALML5,KDM4D,APC and Human Resources,0.15,b,,,,0.15
Agency Operations and Award Management,APC,CALML5,KDM4D,Agency Operations and Award Management,0.296,b,,,,0.296
Major Research Equipment and Facilities Construction,APC,CALML5,KDM4D,Major Research Equipment and Facilities Construction,0.254,b,,,,0.254
KDM6A,APC,CALML5,KDM6A,,0,,0,0,0,0
"Space, science, applications, and technology (254)",APC,CALML5,KDM6A,,0,,0,0,0,0
Supporting space activities (255),APC,CALML5,KDM6A,,0,,0,0,0,0
Institute of APC Sciences,APC,CALML5,KEAP1,Institute of APC Sciences,0.074,b,,,,0.074
Institute of APC Sciences,APC,CALML5,KEAP1,Institute of APC Sciences,0.476,b,,,,0.476
Program Administration,APC,CALML5,KEAP1,Program Administration,0.452,b,,,,0.452
"Salaries and Expenses, Library of Congress",APC,CALML5,KEAP1,"Salaries and Expenses, Library of Congress",0.409,b,,,,0.409
Books for the Blind and Physically Handicapped: Salaries and Expenses,APC,CALML5,KEAP1,Books for the Blind and Physically Handicapped: Salaries and Expenses,0.053,b,,,,0.053
Corporation for Public Broadcasting,APC,CALML5,KEAP1,Corporation for Public Broadcasting,0.445,b,,,,0.445
National Endowment for the Arts: Grants and Administration,APC,CALML5,KEAP1,National Endowment for the Arts: Grants and Administration,0.107,b,,,,0.107
National Endowment for the Humanities: Grants and Administration,APC,CALML5,KEAP1,National Endowment for the Humanities: Grants and Administration,0.159,b,,,,0.159
Salaries and Expenses,APC,CALML5,KEAP1,Salaries and Expenses,0.664,b,,,,0.664
Facilities Capital,APC,CALML5,KEAP1,Facilities Capital,0.158,b,,,,0.158
"Salaries and Expenses, National Gallery of Art",APC,CALML5,KEAP1,"Salaries and Expenses, National Gallery of Art",0.129,b,,,,0.129
Holocaust Memorial Museum,APC,CALML5,KEAP1,Holocaust Memorial Museum,0.052,b,,,,0.052
Office of Museum and Library Services: Grants and Administration,APC,CALML5,KEAP1,Office of Museum and Library Services: Grants and Administration,0.26,b,,,,0.26
American Jobs Act,APC,CALML5,KMT2A,American Jobs Act,12.147,b,,,,12.147
Program Administration,APC,CALML5,KMT2A,Program Administration,0.102,b,,,,0.102
Training and Employment Services,APC,CALML5,KMT2A,Training and Employment Services,2.919,b,,,,2.919
Training and Employment Services,APC,CALML5,KMT2A,Training and Employment Services,0.612,b,,,,0.612
Training and Employment Services,APC,CALML5,KMT2A,Training and Employment Services,0.156,b,,,,0.156
Community Service Employment for Older Americans,APC,CALML5,KMT2A,Community Service Employment for Older Americans,0.351,b,,,,0.351
State Unemployment Insurance and Employment Service Operations,APC,CALML5,KMT2A,State Unemployment Insurance and Employment Service Operations,0.078,b,,,,0.078
Office of Job Corps,APC,CALML5,KMT2A,Office of Job Corps,1.854,b,,,,1.854
TAA Community College and Career Training Grant Fund,APC,CALML5,KMT2A,TAA Community College and Career Training Grant Fund,0.632,b,,,,0.632
