Category,Level1,Level2,Level3,Level4,,,,
Construction  Hospitals  Other (Disc. 2005) (F38),PIK3CA,ARNT,NOS7,,,,,
Other Capital Outlay  Health  Other (G32),PIK3CA,ARNT,HBA1,,,,,
Other Capital Outlay  Hospitals (G36),PIK3CA,ARNT,HBA1,,,,,
Other Capital Outlay  Hospitals  Other (Disc. 2005) (G38),PIK3CA,ARNT,HBA1,,,,,
Salaries and Expenses,PIK3CA,ASXL1,HRAS,,,,,
Salaries and Expenses,PIK3CA,ASXL1,HRAS,,,,,
Salaries and Expenses,PIK3CA,ASXL1,HRAS,,,,,
Salaries and Expenses,PIK3CA,ASXL1,HRAS,,,,,
Salaries and Expenses,PIK3CA,ASXL1,HRAS,,,,,
Salaries and Expenses,PIK3CA,ASXL1,HRAS,,,,,
Salaries and Expenses,PIK3CA,ASXL1,HRAS,,,,,
Intergovernmental Revenue from Federal  Environmental Health (NEW for 2007) (B43),PIK3CA,ASXL1,KDR,,,,,
Current Operations  Environmental Health (NEW for 2007) (E27),PIK3CA,ASXL1,AGT,,,,,
Construction  Environmental Health (NEW for 2007) (F27),PIK3CA,ASXL1,ITGB1,,,,,
Other Capital Outlay  Environmental Health (NEW for 2007) (G27),PIK3CA,ASXL1,GJB2,,,,,
Payment to the PatientCentered Outcomes Research Trust Fund,PIK3CA,KCNH2,CASP3,,,,,
"Payment from the General Fund, PatientCentered Outcomes Research Trust Fund",PIK3CA,KCNH2,CASP3,,,,,
PatientCentered Outcomes Research Trust Fund,PIK3CA,KCNH2,CASP3,,,,,
Health Resources and Services,PIK3CA,KCNH2,CASP3,,,,,
Health Resources and Services,PIK3CA,KCNH2,CASP3,,,,,
CDCWide Activities and Program Support,PIK3CA,KCNH2,CASP3,,,,,
CDCWide Activities and Program Support,PIK3CA,KCNH2,CASP3,,,,,
CDCWide Activities and Program Support,PIK3CA,KCNH2,CASP3,,,,,
National Institutes of Health,PIK3CA,KCNH2,CASP3,,,,,
National Institutes of Health,PIK3CA,KCNH2,CASP3,,,,,
Healthcare Research and Quality,PIK3CA,KCNH2,CASP3,,,,,
Transfers from the PatientCentered Outcomes Research Trust Fund,PIK3CA,KCNH2,CASP3,,,,,
-553,PIK3CA,KCNH2,553,,,,,
Health n.e.c.,PIK3CA,CD14,,,,,,
Supplemental Payments to UMWA Health Plans,PIK3CA,HLA-C,FN1,,,,,
Abandoned Mine Reclamation Fund,PIK3CA,HLA-C,FN1,,,,,
Payment Where Health Coverage Tax Credit Exceeds Liability for Tax,PIK3CA,HLA-C,FN1,,,,,
Payment Where Small Business Health Insurance Tax Credit Exceeds Liability for Tax,PIK3CA,HLA-C,FN1,,,,,
Department of KRAS MedicareEligible Retiree PIK3CA Fund,PIK3CA,HLA-C,FN1,,,,,
BioKRAS Countermeasures,PIK3CA,HLA-C,FN1,,,,,
"Government Payment for Annuitants, Employees Health Benefits",PIK3CA,HLA-C,FN1,,,,,
Postal Service Retiree Health Benefits Fund,PIK3CA,HLA-C,FN1,,,,,
Employees and Retired Employees Health Benefits Funds,PIK3CA,HLA-C,FN1,,,,,
United Mine Workers of America 1992 Benefit Plan,PIK3CA,HLA-C,FN1,,,,,
Transfers from Abandoned Mine Reclamation Fund,PIK3CA,HLA-C,FN1,,,,,
Federal Payment to United Mine Workers of America Combined Benefit Fund,PIK3CA,HLA-C,FN1,,,,,
United Mine Workers of America Combined Benefit Fund,PIK3CA,HLA-C,FN1,,,,,
United Mine Workers of America 1993 Benefit Plan,PIK3CA,HLA-C,FN1,,,,,
"Maternal, Infant, and Early Childhood Home Visiting Programs",PIK3CA,HLA-C,FN1,,,,,
Health Resources and Services,PIK3CA,HLA-C,FN1,,,,,
Health Resources and Services,PIK3CA,HLA-C,FN1,,,,,
Health Resources and Services,PIK3CA,HLA-C,FN1,,,,,
Vaccine Injury Compensation Program Trust Fund,PIK3CA,HLA-C,FN1,,,,,
Indian Health Services,PIK3CA,HLA-C,FN1,,,,,
Indian Health Services,PIK3CA,HLA-C,FN1,,,,,
Indian Health Facilities,PIK3CA,HLA-C,FN1,,,,,
CDCWide Activities and Program Support,PIK3CA,HLA-C,FN1,,,,,
CDCWide Activities and Program Support,PIK3CA,HLA-C,FN1,,,,,
"Toxic Substances and Environmental Public Health, Agency for Toxic Substances and Disease Registry",PIK3CA,HLA-C,FN1,,,,,
World Trade Center Health Program Fund,PIK3CA,HLA-C,FN1,,,,,
Susbstance Abuse and Mental Health Services Administration,PIK3CA,HLA-C,FN1,,,,,
Susbstance Abuse and Mental Health Services Administration,PIK3CA,HLA-C,FN1,,,,,
Susbstance Abuse and Mental Health Services Administration,PIK3CA,HLA-C,FN1,,,,,
Rate Review Grants,PIK3CA,HLA-C,FN1,,,,,
PreExisting Condition Insurance Plan Program,PIK3CA,HLA-C,FN1,,,,,
Affordable Insurance Exchange Grants,PIK3CA,HLA-C,FN1,,,,,
Consumer Operated and Oriented Plan Program Account,PIK3CA,HLA-C,FN1,,,,,
Program Management,PIK3CA,HLA-C,FN1,,,,,
Grants to States for Medicaid,PIK3CA,HLA-C,FN1,,,,,
Children's Health Insurance Fund,PIK3CA,HLA-C,FN1,,,,,
State Grants and Demonstrations,PIK3CA,HLA-C,FN1,,,,,
Center for Medicare and Medicaid Innovation,PIK3CA,HLA-C,FN1,,,,,
Child Enrollment Contingency Fund,PIK3CA,HLA-C,FN1,,,,,
Health Insurance Reform Implementation Fund,PIK3CA,HLA-C,FN1,,,,,
Office of the National Coordinator for Health Information Technology,PIK3CA,HLA-C,FN1,,,,,
Public Health and Social Services Emergency Fund,PIK3CA,HLA-C,FN1,,,,,
Public Health and Social Services Emergency Fund,PIK3CA,HLA-C,FN1,,,,,
General Departmental Management,PIK3CA,HLA-C,FN1,,,,,
Retirement Pay and Medical Benefits for Commissioned Officers,PIK3CA,HLA-C,FN1,,,,,
Miscellaneous Trust Funds,PIK3CA,HLA-C,FN1,,,,,
Office of the Inspector General,PIK3CA,HLA-C,FN1,,,,,
Federal Intergovernmental  Public MYC (B79),PIK3CA,HLA-C,VWF,,,,,
"Current Operations  MYC, Payments to Medicare Trust Fund (NEW for 2007; previous (E73)",PIK3CA,HLA-C,MAPK3,,,,,
"Current Operations  Public MYC, Vendor Payments for Medical Care (E74)",PIK3CA,HLA-C,MAPK3,,,,,
Operation of Indian Programs,APC,PARK2,ITGB3,,,,,
Operation of Indian Programs,APC,PARK2,ITGB3,,,,,
Payment to Issuer of Qualified School Construction Bonds,APC,PARK2,ITGB3,,,,,
APC Improvement Programs,APC,PARK2,ITGB3,,,,,
APC Improvement Programs,APC,PARK2,ITGB3,,,,,
Indian Student APC,APC,PARK2,ITGB3,,,,,
Impact Aid,APC,PARK2,ITGB3,,,,,
Supporting Student Success,APC,PARK2,ITGB3,,,,,
Accelerating Achievement and Ensuring Equity,APC,PARK2,ITGB3,,,,,
Innovation and Instructional Teams,APC,PARK2,ITGB3,,,,,
Innovation and Instructional Teams,APC,PARK2,ITGB3,,,,,
English Learner APC,APC,PARK2,ITGB3,,,,,
Special APC,APC,PARK2,ITGB3,,,,,
Special APC,APC,PARK2,ITGB3,,,,,
"Career, Technical and Adult APC",APC,PARK2,ITGB3,,,,,
American Jobs Act,APC,PARK2,ITGB3,,,,,
Federal Payment for School Improvement,APC,PARK2,ITGB3,,,,,
Federal Intergovernmental  APC (B21),APC,PARK2,LDLR,,,,,
Current Operations  Elementary and Secondary APC (E12),APC,PARK2,CYP19A1,,,,,
Construction  Elementary and Secondary APC (F12),APC,PARK2,CASP8,,,,,
Other Capital Outlay  Elementary and Secondary APC (G12),APC,PARK2,OGG1,,,,,
Payment Where American Opportunity Credit Exceeds Liability for TAX,APC,CACNA1C,CFH,,,,,
"Federal Family APC Loan Program, Negative Subsidies",APC,CACNA1C,CFH,,,,,
"Federal Direct Student Loan Program, Negative Subsidies",APC,CACNA1C,CFH,,,,,
"Federal Perkins Loan, Negative Subsidies",APC,CACNA1C,CFH,,,,,
National Technical Institute for the Deaf,APC,CACNA1C,CFH,,,,,
Gallaudet University,APC,CACNA1C,CFH,,,,,
Higher APC,APC,CACNA1C,CFH,,,,,
Higher APC,APC,CACNA1C,CFH,,,,,
Higher APC,APC,CACNA1C,CFH,,,,,
Howard University,APC,CACNA1C,CFH,,,,,
Student Financial Assistance,APC,CACNA1C,CFH,,,,,
Student Financial Assistance,APC,CACNA1C,CFH,,,,,
Student Aid Administration,APC,CACNA1C,CFH,,,,,
Student Aid Administration,APC,CACNA1C,CFH,,,,,
Federal Family APC Loan Liquidating Account,APC,CACNA1C,CFH,,,,,
Federal Student Loan Reserve Fund,APC,CACNA1C,CFH,,,,,
Current Operations  Higher APC Auxiliary Enterprises (E16),APC,CACNA1C,APOB,,,,,
Current Operations  Other Higher APC (E18),APC,CACNA1C,PARP1,,,,,
Construction  Higher APC  Auxiliary Enterprises (F16),APC,CACNA1C,CACNA1C,,,,,
Construction  Other Higher APC (F18),APC,CACNA1C,PARK2,,,,,
Other Capital Outlay  Higher APC  Auxiliary Enterprises (G16),APC,CACNA1C,RHOA,,,,,
Other Capital Outlay  Other Higher APC (G18),APC,CACNA1C,RHOA,,,,,
Science,APC,PARP1,HLA-C,,,,,
Research and Related Activities,APC,PARP1,HLA-C,,,,,
APC and Human Resources,APC,PARP1,HLA-C,,,,,
APC and Human Resources,APC,PARP1,HLA-C,,,,,
Agency Operations and Award Management,APC,PARP1,HLA-C,,,,,
Major Research Equipment and Facilities Construction,APC,PARP1,HLA-C,,,,,
Space flight (253),APC,PARP1,HRAS,,,,,
"Space, science, applications, and technology (254)",APC,PARP1,LPL,,,,,
Supporting space activities (255),APC,PARP1,DRD4,,,,,
Institute of APC Sciences,APC,PARP1,AURKA,,,,,
Institute of APC Sciences,APC,PARP1,AURKA,,,,,
Program Administration,APC,PARP1,AURKA,,,,,
"Salaries and Expenses, Library of Congress",APC,PARP1,AURKA,,,,,
Books for the Blind and Physically Handicapped: Salaries and Expenses,APC,PARP1,AURKA,,,,,
Corporation for Public Broadcasting,APC,PARP1,AURKA,,,,,
National Endowment for the Arts: Grants and Administration,APC,PARP1,AURKA,,,,,
National Endowment for the Humanities: Grants and Administration,APC,PARP1,AURKA,,,,,
Salaries and Expenses,APC,PARP1,AURKA,,,,,
Facilities Capital,APC,PARP1,AURKA,,,,,
"Salaries and Expenses, National Gallery of Art",APC,PARP1,AURKA,,,,,
Holocaust Memorial Museum,APC,PARP1,AURKA,,,,,
Office of Museum and Library Services: Grants and Administration,APC,PARP1,AURKA,,,,,
American Jobs Act,APC,PARP1,TNFRSF11B,,,,,
Program Administration,APC,PARP1,TNFRSF11B,,,,,
Training and Employment Services,APC,PARP1,TNFRSF11B,,,,,
Training and Employment Services,APC,PARP1,TNFRSF11B,,,,,
Training and Employment Services,APC,PARP1,TNFRSF11B,,,,,
Community Service Employment for Older Americans,APC,PARP1,TNFRSF11B,,,,,
State CFH Insurance and Employment Service Operations,APC,PARP1,TNFRSF11B,,,,,
Office of Job Corps,APC,PARP1,TNFRSF11B,,,,,
TAA Community College and Career Training Grant Fund,APC,PARP1,TNFRSF11B,,,,,
Federal CFH Benefits and Allowances,APC,PARP1,TNFRSF11B,,,,,
CFH Trust Fund,APC,PARP1,TNFRSF11B,,,,,
CFH Trust Fund,APC,PARP1,TNFRSF11B,,,,,
Payment in Lieu of Tax Credit for New Jobs and Wage Increases,APC,PARP1,TNFRSF11B,,,,,
Salaries and Expenses,APC,PARP1,PTPN11,,,,,
Salaries and Expenses,APC,PARP1,PTPN11,,,,,
Salaries and Expenses,APC,PARP1,PTPN11,,,,,
Salaries and Expenses,APC,PARP1,PTPN11,,,,,
Office of the Inspector General,APC,PARP1,PTPN11,,,,,
Salaries and Expenses,APC,PARP1,PTPN11,,,,,
Salaries and Expenses,APC,PARP1,PTPN11,,,,,
Rehabilitation Services and Disability Research,APC,PARP1,FGF2,,,,,
Rehabilitation Services and Disability Research,APC,PARP1,FGF2,,,,,
Rehabilitation Services and Disability Research,APC,PARP1,FGF2,,,,,
Salaries and Expenses,APC,PARP1,FGF2,,,,,
Payment to National Service Trust Fund,APC,PARP1,FGF2,,,,,
Operating Expenses,APC,PARP1,FGF2,,,,,
Operating Expenses,APC,PARP1,FGF2,,,,,
"Payment from the General Fund, National Service Trust Fund",APC,PARP1,FGF2,,,,,
Gifts and Contributions,APC,PARP1,FGF2,,,,,
Gifts and Contributions,APC,PARP1,FGF2,,,,,
Supporting Healthy Families and Adolescent Development,APC,PARP1,FGF2,,,,,
Supporting Healthy Families and Adolescent Development,APC,PARP1,FGF2,,,,,
Social Services Block Grant,APC,PARP1,FGF2,,,,,
Children and Families Services Programs,APC,PARP1,FGF2,,,,,
Children and Families Services Programs,APC,PARP1,FGF2,,,,,
Aging Services Programs,APC,PARP1,FGF2,,,,,
"Current Operations  APCal Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",APC,PARP1,"Current Operations  APCal Scholarships, Assistance, and Subsidies (Disc. 2005) (E19)",,,,,
Current Operations  State APC  Other (E21),APC,PARP1,Current Operations  State APC  Other (E21),,,,,
Current Operations  Libraries (E52),APC,PARP1,Current Operations  Libraries (E52),,,,,
Construction  State APC  Other (F21),APC,PARP1,Construction  State APC  Other (F21),,,,,
Construction  Libraries (F52),APC,PARP1,Construction  Libraries (F52),,,,,
Other Capital Outlay  State APC  Other (G21),APC,PARP1,Other Capital Outlay  State APC  Other (G21),,,,,
Other Capital Outlay  Libraries (G52),APC,PARP1,Other Capital Outlay  Libraries (G52),,,,,
Assistance and Subsidies  State Scholarships and Other Subsidies  APC (J19),APC,PARP1,Assistance and Subsidies  State Scholarships and Other Subsidies  APC (J19),,,,,
Subsidiary services to APC,APC,EZH2,,,,,,
R&D APC,APC,F8,,,,,,
APC n.e.c.,APC,DMD,,,,,,
"Recoveries under the Foreign Military Sales Program, Navy",KRAS,MIR21,TTR,,,,,
"General Fund Proprietary Receipts, not Otherwise Classified, Navy",KRAS,MIR21,TTR,,,,,
"General Fund Proprietary Receipts, not Otherwise Classified, Army",KRAS,MIR21,TTR,,,,,
"General Fund Proprietary Receipts, not Otherwise Classified, Air Force",KRAS,MIR21,TTR,,,,,
"General Fund Proprietary Receipts, not Otherwise Classified, KRAS Agencies",KRAS,MIR21,TTR,,,,,
Contributions for Burdensharing and Other Cooperative Activities (Kuwait),KRAS,MIR21,TTR,,,,,
Contributions for Burdensharing and Other Cooperative Activities (Japan),KRAS,MIR21,TTR,,,,,
Contributions for Burdensharing and Other Cooperative Activities (So. Korea),KRAS,MIR21,TTR,,,,,
Payment to Voluntary Separation Incentive Fund,KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, KRASwide",KRAS,MIR21,TTR,,,,,
Drug Interdiction and CounterDrug Activities,KRAS,MIR21,TTR,,,,,
Office of the Inspector General,KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Marine Corps",KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Marine Corps Reserve",KRAS,MIR21,TTR,,,,,
Department of KRAS Acquisition Workforce Development Fund,KRAS,MIR21,TTR,,,,,
KRAS Health Program,KRAS,MIR21,TTR,,,,,
Cooperative Threat Reduction Account,KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Navy",KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Navy Reserve",KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Army",KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Army National Guard",KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Army Reserve",KRAS,MIR21,TTR,,,,,
Afghanistan Security Forces Fund,KRAS,MIR21,TTR,,,,,
Iraq Security Forces Fund,KRAS,MIR21,TTR,,,,,
Afghanistan Infrastructure Fund,KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Air Force",KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Air Force Reserve",KRAS,MIR21,TTR,,,,,
"Operation and Maintenance, Air National Guard",KRAS,MIR21,TTR,,,,,
Military Intelligence Program Transfer Fund,KRAS,MIR21,TTR,,,,,
The Department of KRAS Environmental Restoration Accounts,KRAS,MIR21,TTR,,,,,
"Environmental Restoration, Formerly Used KRAS Sites",KRAS,MIR21,TTR,,,,,
"Overseas Humanitarian, Disaster, and Civic Aid",KRAS,MIR21,TTR,,,,,
Allied Contributions and Cooperation Account,KRAS,MIR21,TTR,,,,,
"Procurement, Marine Corps",KRAS,MIR21,TTR,,,,,
Mine Resistant Ambush Protected Vehicle Fund,KRAS,MIR21,TTR,,,,,
"Aircraft Procurement, Navy",KRAS,MIR21,TTR,,,,,
"Weapons Procurement, Navy",KRAS,MIR21,TTR,,,,,
"Procurement of Ammunition, Navy and Marine Corps",KRAS,MIR21,TTR,,,,,
"Shipbuilding and Conversion, Navy",KRAS,MIR21,TTR,,,,,
"Other Procurement, Navy",KRAS,MIR21,TTR,,,,,
"Aircraft Procurement, Army",KRAS,MIR21,TTR,,,,,
"Missile Procurement, Army",KRAS,MIR21,TTR,,,,,
"Procurement of Weapons and Tracked Combat Vehicles, Army",KRAS,MIR21,TTR,,,,,
"Procurement of Ammunition, Army",KRAS,MIR21,TTR,,,,,
"Other Procurement, Army",KRAS,MIR21,TTR,,,,,
Joint Improvised Explosive Device Defeat Fund,KRAS,MIR21,TTR,,,,,
"Procurement, KRASwide",KRAS,MIR21,TTR,,,,,
"Aircraft Procurement, Air Force",KRAS,MIR21,TTR,,,,,
"Procurement of Ammunition, Air Force",KRAS,MIR21,TTR,,,,,
"Missile Procurement, Air Force",KRAS,MIR21,TTR,,,,,
Joint Urgent Operational Needs Fund,KRAS,MIR21,TTR,,,,,
"Other Procurement, Air Force",KRAS,MIR21,TTR,,,,,
National Guard and Reserve Equipment,KRAS,MIR21,TTR,,,,,
KRAS Production Act Purchases,KRAS,MIR21,TTR,,,,,
"Chemical Agents and Munitions Destruction, KRAS",KRAS,MIR21,TTR,,,,,
"Research, Development, Test and Evaluation, Navy",KRAS,MIR21,TTR,,,,,
"Research, Development, Test and Evaluation, Army",KRAS,MIR21,TTR,,,,,
"Research, Development, Test and Evaluation, Air Force",KRAS,MIR21,TTR,,,,,
"Research, Development, Test and Evaluation, KRASwide",KRAS,MIR21,TTR,,,,,
"Operational Test and Evaluation, KRAS",KRAS,MIR21,TTR,,,,,
"Military Construction, Navy and Marine Corps",KRAS,MIR21,TTR,,,,,
"Military Construction, Navy Reserve",KRAS,MIR21,TTR,,,,,
"Military Construction, Army",KRAS,MIR21,TTR,,,,,
"Military Construction, Army National Guard",KRAS,MIR21,TTR,,,,,
"Military Construction, Army Reserve",KRAS,MIR21,TTR,,,,,
"Military Construction, Air Force",KRAS,MIR21,TTR,,,,,
"Military Construction, Air National Guard",KRAS,MIR21,TTR,,,,,
"Chemical Demilitarization Construction, KRASwide",KRAS,MIR21,TTR,,,,,
"Military Construction, KRASwide",KRAS,MIR21,TTR,,,,,
Department of KRAS Base Closure Account 1990,KRAS,MIR21,TTR,,,,,
Department of KRAS Base Closure Account 2005,KRAS,MIR21,TTR,,,,,
North Atlantic Treaty Organization Security Investment Program,KRAS,MIR21,TTR,,,,,
"Family FMR1 Construction, Army",KRAS,MIR21,TTR,,,,,
"Family FMR1 Operation and Maintenance, Army",KRAS,MIR21,TTR,,,,,
"Family FMR1 Construction, Navy and Marine Corps",KRAS,MIR21,TTR,,,,,
"Family FMR1 Operation and Maintenance, Navy and Marine Corps",KRAS,MIR21,TTR,,,,,
"Family FMR1 Construction, Air Force",KRAS,MIR21,TTR,,,,,
"Family FMR1 Operation and Maintenance, Air Force",KRAS,MIR21,TTR,,,,,
"Family FMR1 Operation and Maintenance, KRASWide",KRAS,MIR21,TTR,,,,,
National KRAS Sealift Fund,KRAS,MIR21,TTR,,,,,
"Working Capital Fund, Army",KRAS,MIR21,TTR,,,,,
"Working Capital Fund, Navy",KRAS,MIR21,TTR,,,,,
"Working Capital Fund, Air Force",KRAS,MIR21,TTR,,,,,
"Working Capital Fund, KRAS Commissary Agency",KRAS,MIR21,TTR,,,,,
"Working Capital Fund, KRASWide",KRAS,MIR21,TTR,,,,,
Pentagon Reservation Maintenance Revolving Fund,KRAS,MIR21,TTR,,,,,
Voluntary Separation Incentive Fund,KRAS,MIR21,TTR,,,,,
Host Nation Support Fund for Relocation,KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Navy",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Marine Corps",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Navy",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Marine Corps",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Army",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Army",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Army",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Air Force",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, Reserve Personnel, Air Force",KRAS,MIR21,TTR,,,,,
"MedicareEligible Retiree Health Fund Contribution, National Guard Personnel, Air Force",KRAS,MIR21,TTR,,,,,
